card_name,oracle_tags
"Chronomancer","40k-model|activate-from-graveyard|activated-ability|card-advantage|delayed-triggered-ability|draw|evasion|plunder|reanimate|reanimate-self|recursion|recursion-self|repeatable-draw|resurrect|sac-outlet|sacrifice-outlet|sacrifice-outlet-artifact|self-reanimate|synergy-artifact|temporary-reanimation|zombify"
"Clamavus","40k-model|counters-matter|pp-counters-matter|unique-type-line"
"Commissar Severina Raine","40k-model|activated-ability|attack-trigger|card-advantage|draw|group-slug|life-gain|lifegain|opponent-loses-life|plunder|repeatable-draw|sac-outlet|sacrifice-outlet|sacrifice-outlet-creature|synergy-attacker|synergy-attacker-self"
"Cryptek","40k-model|activated-ability|cheat-death|creature-reanimation-automatic|death-trigger|deathtrigger|delayed-triggered-ability|leaves-battlefield-trigger|protects-creature|protects-permanent"
"Cryptothrall","40k-model|gives-hexproof|synergy-artifact-creature"
"Cybernetica Datasmith","40k-model|activated-ability|card-advantage|donate-token|draw|draw-card|group-hug|hate-typal-robot|multiple-targets|pure-draw|repeatable-creature-tokens|repeatable-crime|repeatable-draw|repeatable-token-generator|selective-group-hug|unique-token"
"Dark Apostle","40k-model|activated-ability|card-advantage|cast-from-exile|cast-from-nonhand|cast-trigger|cast-trigger-you|consult|consult-cast|gives-cascade|gives-castable-from-exile|gives-castable-from-nonhand|synergy-noncreature|unique-type-line"
"Deathleaper, Terror Weapon","40k-model|gives-double-strike|synergy-haste"
"Epistolary Librarian","40k-model|attack-trigger|free-cast-another|synergy-attacker|synergy-attacker-self|unique-type-line"
"Exalted Flamer of Tzeentch","40k-model|burn|burn-player|card-advantage|card-names|cast-trigger|cast-trigger-you|group-slug|namesake-spell|naming-scheme|recall|recursion|recursion-instant|recursion-sorcery|regrowth|regrowth-instant|regrowth-sorcery|synergy-instant|synergy-sorcery"
"Exocrine","40k-model|boardwipe|burn|burn-creature|burn-player|burn-player-each|cantrip|card-advantage|card-names|creature-removal|draw|draw-card|flavors-of-vanilla|gains-pp-counters|group-slug|high-x-matters|intervening-if-clause|mass-removal|naming-scheme|pure-draw|removal|removal-burn|removal-creature|removal-creature-burn|single-english-word-name|sweeper|virtual-vanilla|wipe"
"Flayed One","40k-model|flavors-of-vanilla|life-gain|lifegain|mill|mill-self|self-mill|virtual-french-vanilla"
"Genestealer Locus","40k-model|attack-trigger|hate|hate-attacker|inverted-effects|multiplayer|synergy-attacker"
"Genestealer Patriarch","40k-model|attack-trigger|copy|copy-creature|death-trigger|deathtrigger|leaves-battlefield-trigger|repeatable-creature-tokens|repeatable-token-generator|synergy-attacker-self"
"Ghost Ark","40k-model|activate-from-graveyard|activated-ability|animate|animate-self|becomes-creature|evasion|gives-unearth|power-matters|reanimate|reanimate-artifact-creature|recursion|resurrect|tap-fuel-creature|temporary-reanimation|type-change|zombify"
"Ghyrson Starn, Kelermorph","40k-model|burn|burn-any|burn-battle|burn-creature|burn-planeswalker|burn-player|creature-removal|dilemma|planeswalker-removal|removal|removal-battle-burn|removal-burn|removal-creature|removal-creature-burn|removal-planeswalker|removal-planeswalker-burn|repeatable-removal|rhystic|unique-type-line"
"Goliath Truck","40k-model|activated-ability|animate|animate-self|attack-trigger|becomes-creature|gives-1-1-counters|gives-pp-counters|power-matters|synergy-attacker|synergy-attacker-self|tap-fuel-creature|type-change"
"Great Unclean One","40k-model|group-slug|lifegain-matters|opponent-loses-life|repeatable-creature-tokens|repeatable-token-generator|synergy-lifegain"
"Haruspex","40k-model|acceleration|activated-ability|adds-multiple-mana|card-names|counter-fuel|counter-fuel-any|counter-fuel-pp|counters-matter|death-trigger|deathtrigger|gains-pp-counters|leaves-battlefield-trigger|mana-dork|mana-producer|mana-ramp|naming-scheme|pp-counters-matter|ramp|single-english-word-name"
"Helbrute","40k-model|castable-from-graveyard|castable-from-nonhand|flashback|graveyard-fuel|graveyard-fuel-creature|reanimate|reanimate-cast|reanimate-self|recursion|recursion-self|resurrect|self-reanimate|zombify"
"Herald of Slaanesh","40k-model|card-names|cost-reducer|demon-synergy|gives-haste|kindred|namesake-spell|naming-scheme|noncreature-tribal|noncreature-typal|tribal|tribal-demon|typal|typal-creature|typal-demon"
"Heralds of Tzeentch","40k-model|card-advantage|card-names|cast-trigger|cast-trigger-self|consult|consult-cast|evasion|flavors-of-vanilla|free-cast-another|french-vanilla|namesake-spell|naming-scheme"
"Hierophant Bio-Titan","40k-model|cheaper-than-mv|cost-reducer-self|counter-fuel|counter-fuel-any|counter-fuel-other|counter-fuel-pp|counters-matter|daunt|dilemma|discount-self|evasion|power-matters|pp-counters-matter|rhystic"
"Illuminor Szeras","40k-model|acceleration|activated-ability|adds-multiple-mana|mana-dork|mana-producer|mana-ramp|ramp|sac-outlet|sacrifice-outlet|sacrifice-outlet-creature"
"Imotekh the Stormlord","40k-model|alt-commander|cycle|cycle-40k-alt-commander|gives-evasion|gives-menace|leaves-graveyard-trigger|repeatable-creature-tokens|repeatable-token-generator|synergy-artifact|synergy-artifact-creature"
"Inquisitor Eisenhorn","40k-model|bloodsower-effect|card-advantage|curiosity|curiosity-like|delayed-triggered-ability|draw|draw-card|mana-dump|mana-sink|pure-draw|repeatable-clues|repeatable-creature-tokens|repeatable-draw|repeatable-noncreature-tokens|repeatable-token-generator|saboteur|synergy-instant|synergy-sorcery|tokenlink|unique-token"
"Inquisitor Greyfax","40k-model|activated-ability|card-advantage|cycle|cycle-40k-face-commander|draw|draw-card|face-commander|gives-vigilance|power-boost-to-all|pure-draw|repeatable-clues|repeatable-crime|repeatable-draw|repeatable-noncreature-tokens|repeatable-token-generator|tap-creature|tapper|tapper-creature"
"Keeper of Secrets","40k-model|burn|burn-player|cast-trigger|cast-trigger-you|cmc-matters|converted-mana-cost-matters|mana-value-matters|paradox|repeatable-crime|synergy-exile-cast|synergy-graveyard-cast|synergy-library-cast|synergy-nonhand-cast"
"Knight Paladin","40k-model|activated-ability|animate|animate-self|becomes-creature|burn|burn-player|flavors-of-vanilla|group-slug|tap-fuel-creature|type-change|virtual-french-vanilla"
"Knight Rampager","40k-model|burn|burn-player|class-type-only|death-trigger|death-trigger-self|deathtrigger|forced-attacker|leaves-battlefield-trigger"
"Lictor","40k-model|enters-in-company|flavors-of-vanilla|intervening-if-clause|multiple-bodies|virtual-vanilla"
"Lokhust Heavy Destroyer","40k-model|activate-from-graveyard|activated-ability|creature-removal|delayed-triggered-ability|edict|evasion|marauder|mutual-edict|mutual-sacrifice|reanimate|reanimate-self|recursion|recursion-self|removal|removal-creature|removal-sacrifice|resurrect|sac-outlet|sacrifice-outlet|sacrifice-outlet-creature|self-reanimate|spot-removal|temporary-reanimation|zombify"
"Lord of Change","40k-model|burst-draw|card-advantage|dilemma|draw|draw-card|evasion|flavors-of-vanilla|pure-draw|rhystic|virtual-french-vanilla"
"Lucius the Eternal","40k-model|cheat-death|cheat-death-self|creature-reanimation-automatic|death-trigger|death-trigger-self|deathtrigger|delayed-triggered-ability|leaves-battlefield-trigger|untracked-effect"
"Magnus the Red","40k-model|cost-reducer|cost-reducer-instant|cost-reducer-instant-sorcery|cost-reducer-sorcery|evasion|repeatable-creature-tokens|repeatable-token-generator|saboteur|synergy-token|synergy-token-creature"
"Malanthrope","40k-model|evasion|flavors-of-vanilla|gains-pp-counters|graveyard-fuel|graveyard-fuel-creature|graveyard-hate|hate|hate-graveyard|sweeper-graveyard|virtual-french-vanilla"
"Mawloc","40k-model|burn|burn-creature|cantrip|card-advantage|creature-removal|draw|draw-card|flavors-of-vanilla|gains-pp-counters|high-x-matters|intervening-if-clause|pure-draw|removal|removal-burn|removal-creature|removal-creature-burn|removal-creature-fight|removal-exile|removal-fight|spot-removal|virtual-vanilla"
"Mortarion, Daemon Primarch","40k-model|evasion|life-loss-matters|repeatable-creature-tokens|repeatable-token-generator|unique-token|unnoted-tracked-information"
"Mutalith Vortex Beast","40k-model|burn|burn-player|card-advantage|coin-flip|draw|draw-card|flavors-of-vanilla|group-slug|multiplayer|pure-draw|virtual-french-vanilla"
"Necron Deathmark","40k-model|creature-removal|flavors-of-vanilla|mill|mill-any|mill-opponent|mill-self|multiple-targets|removal|removal-creature|removal-destroy|self-mill|spot-removal|virtual-vanilla"
"Necron Monolith","40k-model|activated-ability|animate|animate-self|attack-trigger|becomes-creature|evasion|ferocious|mill|mill-self|power-matters|repeatable-creature-tokens|repeatable-token-generator|self-mill|synergy-attacker-self|tap-fuel-creature|type-change"
"Necron Overlord","40k-model|activated-ability|mana-dump|mana-sink|opponent-loses-life|tap-fuel-artifact"
"Nexos","40k-model|acceleration|cares-about-basic-land|gives-mana-ability|mana-cost-matters|mana-ramp|ramp|restricted-mana|unique-type-line|x-cost-matters"
"Neyam Shai Murad","40k-model|opponent-chooses|reanimate|reanimate-permanent|recursion|recursion-permanent|resurrect|saboteur|zombify"
"Night Scythe","40k-model|activated-ability|animate|animate-self|becomes-creature|evasion|flavors-of-vanilla|power-matters|tap-fuel-creature|type-change|virtual-french-vanilla"
"Noise Marine","40k-model|burn|burn-any|burn-battle|burn-creature|burn-planeswalker|burn-player|card-advantage|cast-trigger|cast-trigger-self|consult|consult-cast|creature-removal|flavors-of-vanilla|free-cast-another|planeswalker-removal|removal|removal-battle-burn|removal-burn|removal-creature|removal-creature-burn|removal-planeswalker|removal-planeswalker-burn|storm-count-matters|virtual-vanilla"
"Old One Eye","40k-model|alliteration|card-advantage|card-names|discard-outlet|discardoutlet|enters-in-company|gives-trample|multiple-bodies|naming-scheme|recall|recursion|recursion-self|regrowth|regrowth-self|self-recall|self-regrowth|trigger-from-graveyard|unique-token"
"Pink Horror","40k-model|burn|burn-any|burn-battle|burn-creature|burn-planeswalker|burn-player|cast-trigger|cast-trigger-you|creature-removal|death-trigger|death-trigger-self|deathtrigger|leaves-battlefield-trigger|planeswalker-removal|removal|removal-battle-burn|removal-burn|removal-creature|removal-creature-burn|removal-planeswalker|removal-planeswalker-burn|repeatable-crime|repeatable-removal|splits-on-death|synergy-instant|synergy-sorcery|unique-token|unique-type-line"
"Plague Drone","40k-model|evasion|hate|hate-lifegain|opponent-loses-life"
"Plasmancer","40k-model|evasion|flavors-of-vanilla|tutor|tutor-hand|tutor-land|tutor-land-basic|tutor-land-basic-swamp|tutor-to|tutor-to-hand|virtual-french-vanilla"
"Poxwalkers","40k-model|cast-trigger|cast-trigger-you|manaless-value|paradox|reanimate|reanimate-self|recursion|recursion-self|resurrect|self-reanimate|synergy-exile-cast|synergy-graveyard-cast|synergy-library-cast|synergy-nonhand-cast|trigger-from-graveyard|zombify"
"Primaris Chaplain","40k-model|attack-trigger|battle-cry|gains-indestructible|synergy-attacker|synergy-attacker-self"
"Primaris Eliminator","40k-model|boardwipe|creature-removal|flavors-of-vanilla|mass-removal|modal|removal|removal-creature|removal-destroy|removal-toughness|spot-removal|sweeper|sweeper-one-sided|virtual-vanilla|wipe"
"Psychomancer","40k-model|drain-life|evasion|inverted-effects|life-drain|life-gain|lifegain|opponent-loses-life|synergy-artifact|synergy-exile"
"Purestrain Genestealer","40k-model|acceleration|attack-trigger|combat-mana|counter-fuel|counter-fuel-any|counter-fuel-pp|counters-matter|gains-pp-counters|mana-ramp|pp-counters-matter|ramp|synergy-attacker-self|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield"
"Ravener","40k-model|cantrip|card-advantage|card-names|combat-manipulation|draw|draw-card|flavors-of-vanilla|force-attacker|forces-attack|gains-pp-counters|high-x-matters|intervening-if-clause|multiplayer|multiple-targets|naming-scheme|pure-draw|single-english-word-name|virtual-vanilla"
"Redemptor Dreadnought","40k-model|attack-trigger|graveyard-fuel|graveyard-fuel-creature|intervening-if-clause|power-matters|synergy-attacker-self"
"Royal Warden","40k-model|activate-from-graveyard|activated-ability|delayed-triggered-ability|enters-in-company|multiple-bodies|reanimate|reanimate-self|recursion|recursion-self|resurrect|self-reanimate|temporary-reanimation|zombify"
"Sautekh Immortal","40k-model|flavors-of-vanilla|gains-pp-counters|morbid|unnoted-tracked-information|virtual-vanilla"
"Seeker of Slaanesh","40k-model|alliteration|card-names|combat-manipulation|force-attacker|forces-attack|namesake-spell|naming-scheme"
"Shard of the Nightbringer","40k-model|division|drain-life|evasion|flavors-of-vanilla|intervening-if-clause|inverted-effects|life-divider|life-drain|life-gain|lifegain|lose-half-life|opponent-loses-life|virtual-french-vanilla"
"Shard of the Void Dragon","40k-model|artifact-removal|attack-trigger|creature-removal|edict|enchantment-removal|evasion|gains-pp-counters|hate|hate-artifact|planeswalker-removal|removal|removal-artifact|removal-aura|removal-battle|removal-creature|removal-enchantment|removal-equipment|removal-nonland|removal-planeswalker|removal-sacrifice|removal-spacecraft|removal-vehicle|repeatable-removal|spot-removal|synergy-artifact|synergy-attacker-self|synergy-exile"
"Sicarian Infiltrator","40k-model|bigger-than-mv|cantrip|card-advantage|copy|copy-self|draw|draw-card|enters-in-company|flavors-of-vanilla|has-identical-token|intervening-if-clause|more-expensive-than-mv|multiple-bodies|pure-draw|squad-token|token-version-of-a-card|token-versions-of-cards|virtual-vanilla"
"Sister Hospitaller","40k-model|flavors-of-vanilla|reanimate|reanimate-creature|recursion|recursion-creature|resurrect|virtual-vanilla|zombify"
"Sister of Silence","40k-model|alliteration|blue-effect|card-names|counter|counterspell|counterspell-ability|counterspell-instant|counterspell-sorcery|flavors-of-vanilla|naming-scheme|stifle|virtual-vanilla"
"Sister Repentia","40k-model|card-advantage|cheaper-than-mv|death-trigger|death-trigger-self|deathtrigger|delayed-triggered-ability|draw|draw-card|leaves-battlefield-trigger|life-gain|lifegain|pure-draw"
"Skorpekh Destroyer","40k-model|artifactfall|gains-first-strike|sneaky-self-trigger|synergy-artifact"
"Skorpekh Lord","40k-model|activate-from-graveyard|activated-ability|delayed-triggered-ability|evasion|gives-evasion|gives-menace|power-boost-to-all|reanimate|reanimate-self|recursion|recursion-self|resurrect|self-reanimate|synergy-artifact-creature|temporary-reanimation|zombify"
"Sloppity Bilepiper","40k-model|activated-ability|card-advantage|cast-from-exile|cast-from-nonhand|cast-trigger|cast-trigger-you|consult|consult-cast|gives-cascade|gives-castable-from-exile|gives-castable-from-nonhand|sac-outlet|sacrifice-outlet|sacrifice-outlet-creature"
"Sporocyst","40k-model|acceleration|cantrip|card-advantage|card-names|draw|draw-card|drawback|flavors-of-vanilla|gains-pp-counters|high-x-matters|intervening-if-clause|mana-ramp|naming-scheme|own-at-cost|pure-draw|ramp|single-english-word-name|tutor|tutor-battlefield|tutor-land|tutor-land-basic|tutor-land-to-battlefield|tutor-onto-battlefield|tutor-to|tutor-to-battlefield|virtual-french-vanilla"
"Szarekh, the Silent King","40k-model|alliteration|attack-trigger|card-advantage|card-names|cycle|cycle-40k-face-commander|evasion|face-commander|impulse|impulse-artifact-creature|mill|mill-self|mulch|naming-scheme|self-mill|synergy-artifact|synergy-artifact-creature|synergy-attacker-self|synergy-vehicle"
"Tallyman of Nurgle","40k-model|burst-draw|card-advantage|card-names|draw|draw-card|intervening-if-clause|life-gain|life-payment|lifegain|morbid|namesake-spell|naming-scheme|pure-draw|repeatable-draw|self-replacement-effect"
"Tervigon","40k-model|bloodsower-effect|cantrip|card-advantage|draw|draw-card|gains-pp-counters|high-x-matters|intervening-if-clause|pure-draw|repeatable-creature-tokens|repeatable-token-generator|saboteur|tokenlink"
"The Red Terror","40k-model|gains-pp-counters|synergy-red"
"The Swarmlord","40k-model|card-advantage|commander-matters|counters-matter|cycle|cycle-40k-face-commander|death-trigger|deathtrigger|draw|draw-card|face-commander|gains-pp-counters|leaves-battlefield-trigger|pure-draw|recasting-commander-matters|synergy-commander"
"Thunderhawk Gunship","40k-model|activated-ability|animate|animate-self|attack-trigger|becomes-creature|evasion|gives-evasion|gives-flying|jump|multiple-bodies|power-matters|synergy-attacker|synergy-attacker-self|tap-fuel-creature|type-change|wingman"
"Thunderwolf Cavalry","40k-model|gives-1-1-counters|gives-1-1-counters-to-all|gives-counters-to-all|gives-pp-counters|gives-pp-counters-to-all|power-boost-to-all|saboteur|slith-ability"
"Tomb Blade","40k-model|activate-from-graveyard|activated-ability|creature-removal|delayed-triggered-ability|dilemma|edict|evasion|hate|hate-wide|opponent-loses-life|punisher|reanimate|reanimate-self|recursion|recursion-self|removal|removal-creature|removal-sacrifice|repeatable-removal|resurrect|saboteur|self-reanimate|spot-removal|temporary-reanimation|villainous-choice|zombify"
"Toxicrene","40k-model|blood-moon-effect|fixing|gives-mana-ability|mana-fix|mass-land-denial"
"Trazyn the Infinite","40k-model|mimic|synergy-artifact"
"Triarch Praetorian","40k-model|activate-from-graveyard|activated-ability|card-advantage|delayed-triggered-ability|draw|draw-card|evasion|life-payment|pure-draw|reanimate|reanimate-matters|reanimate-self|recursion|recursion-self|resurrect|self-reanimate|temporary-reanimation|zombify"
"Triarch Stalker","40k-model|gives-evasion|gives-menace"
"Triumph of Saint Katherine","40k-model|card-names|cheaper-than-mv|death-trigger|death-trigger-self|deathtrigger|delayed-triggered-ability|graveyard-to-library|leaves-battlefield-trigger|life-gain|lifegain|namesake-spell|naming-scheme|recursion|recursion-self|restock|restock-self|self-restock"
"Tyranid Harridan","40k-model|dilemma|evasion|exponential|kindred|repeatable-creature-tokens|repeatable-token-generator|rhystic|saboteur|tribal|tribal-tyranid|typal|typal-creature|typal-tyranid"
"Tyranid Prime","40k-model|alliance|creaturefall|etb-other-creature|gains-pp-counters|gives-1-1-counters|gives-evolve|gives-pp-counters|intervening-if-clause|power-matters|toughness-matters"
"Tyrant Guard","40k-model|activated-ability|cantrip|card-advantage|counters-matter|draw|draw-card|gains-pp-counters|gives-hexproof|gives-indestructible|high-x-matters|intervening-if-clause|martyr|protects-creature|protects-permanent|pure-draw|sacrifice-self"
"Tzaangor Shaman","40k-model|cast-trigger|cast-trigger-you|copy|copy-instant|copy-sorcery|delayed-triggered-ability|evasion|saboteur|unique-type-line"
"Venomcrawler","40k-model|death-trigger|deathtrigger|gains-pp-counters|leaves-battlefield-trigger|life-gain|lifegain"
"Venomthrope","40k-model|evasion|flavors-of-vanilla|french-vanilla"
"Vexilus Praetor","40k-model|combat-trick|gives-evasion|gives-protection|gives-unblockable|protects-creature|protects-permanent|synergy-commander|unique-creature-type|unique-type-line"
"Winged Hive Tyrant","40k-model|counters-matter|evasion|gives-evasion|gives-flying|gives-haste"
"Zephyrim","40k-model|bigger-than-mv|cheaper-than-mv|copy|copy-self|delayed-triggered-ability|enters-in-company|evasion|flavors-of-vanilla|french-vanilla|has-identical-token|intervening-if-clause|mix-and-match|more-expensive-than-mv|multiple-bodies|squad-token|token-version-of-a-card|token-versions-of-cards"
"Zoanthrope","40k-model|burn|burn-any|burn-battle|burn-creature|burn-planeswalker|burn-player|cantrip|card-advantage|creature-removal|dilemma|draw|draw-card|evasion|flavors-of-vanilla|gains-pp-counters|high-x-matters|intervening-if-clause|planeswalker-removal|pure-draw|removal|removal-battle-burn|removal-burn|removal-creature|removal-creature-burn|removal-planeswalker|removal-planeswalker-burn|rhystic|virtual-french-vanilla"
"Acrobatic Cheerleader","ability-counter|bear-with-set-mechanic|bear-with-sets-mechanic|evasion|flying-counter|gains-flying|intervening-if-clause|keyword-counter|staple-with-sets-mechanic|synergy-tapped"
"Agent's Toolkit","ability-counter|activated-ability|alliance|card-advantage|counter-movement|creaturefall|cycle|cycle-ncc-enemy-multicolored|damage-prevention-creature|deathtouch-counter|draw|draw-card|egg|etb-other-creature|flying-counter|gains-pp-counters|keyword-counter|move-counters|pure-draw|sacrifice-self|shield-counter"
"A-Guide of Souls","ability-counter|alliance|attack-trigger|counter-fuel|counter-fuel-any|counter-fuel-energy|counters-matter|creaturefall|energy-generator|etb-other-creature|flying-counter|gives-1-1-counters|gives-evasion|gives-flying|gives-pp-counters|keyword-counter|life-gain|lifegain|reflexive-trigger|soul-warden-ability|synergy-attacker|type-change"
"Ajani Fells the Godsire","ability-counter|card-names|creature-removal|cycle|cycle-mh3-saga|faux-targeting|gives-double-strike|gives-vigilance|hate|hate-high-pt|keyword-counter|namesake-spell|naming-scheme|removal|removal-creature|removal-exile|spot-removal|vigilance-counter"
"Alchemist's Assistant","ability-counter|activate-from-graveyard|activated-ability|alliteration|card-names|exile-self|exiles-self|gives-keyword-counter|gives-lifelink|graveyard-fuel-self|keyword-counter|life-gain|lifegain|lifelink-counter|naming-scheme|renew"
"A-Nezumi Prowler","ability-counter|activate-from-hand|activated-ability|bounce|cheat-into-play|cheat-mana|cost-ignorer|deathtouch-counter|free-casting|gives-deathtouch|gives-lifelink|keyword-counter|life-gain|lifegain|lifelink-counter|ninjutsu|rescue|rescue-creature|sneak|sneak-self"
"Aragorn, Company Leader","ability-counter|counters-matter|deathtouch-counter|first-strike-counter|gains-deathtouch|gains-first-strike|gains-lifelink|gains-vigilance|intervening-if-clause|keyword-counter|life-gain|lifegain|lifelink-counter|synergy-ring|vigilance-counter"
"Arcane Archery","ability-counter|alliteration|card-names|cast-trigger|cast-trigger-you|combat-trick|d-d-feature|d-d-mechanic|dnd|dnd-feature|dnd-mechanic|enlarge|giant-growth|giant-growth-with-set-mechanic|giant-growth-with-sets-mechanic|gives-1-1-counters|gives-pp-counters|gives-reach|gives-trample|keyword-counter|naming-scheme|paper-compatible|reach-counter|single-target-instant-sorcery|single-target-spell|staple-with-sets-mechanic|trample-counter"
"Arwen, Mortal Queen","ability-counter|activated-ability|combat-trick|counter-fuel|counter-fuel-any|counter-fuel-keyword|counters-matter|gains-indestructible|gains-lifelink|gains-pp-counters|gives-1-1-counters|gives-indestructible|gives-lifelink|gives-pp-counters|indestructible-counter|keyword-counter|life-gain|lifegain|lifelink-counter|protects-creature|protects-permanent"
"Ascendant Spirit","ability-counter|activated-ability|card-advantage|curiosity|curiosity-like|draw|draw-card|evasion|flying-counter|gains-flying|gains-pp-counters|hand-positive|indefinite-effect|keyword-counter|mana-dump|mana-sink|permanent-effect|permanent-p-t-boost|pseudo-leveler|pure-draw|repeatable-draw|saboteur|shapechange|type-change|unique-type-line|untracked-indefinite-effect"
"Ascent of the Worthy","ability-counter|aesthetic-counter|cycle|cycle-khm-draft-signpost|cycle-khm-u-saga|damage-deflection|damage-prevention|damage-prevention-creature|damage-redirection|draft-signpost|flying-counter|functional-reminder-counter|gives-evasion|gives-flying|indefinite-effect|keyword-counter|permanent-effect|permanent-p-t-boost|prevent-damage|reanimate|reanimate-creature|recursion|recursion-creature|redirect-damage|resurrect|type-change|untracked-indefinite-effect|zombify"
"Assaultron Dominator","ability-counter|attack-trigger|bear-with-set-mechanic|bear-with-sets-mechanic|energy-generator|first-strike-counter|gives-1-1-counters|gives-first-strike|gives-pp-counters|gives-trample|keyword-counter|staple-with-sets-mechanic|synergy-artifact-creature|synergy-attacker|trample-counter"
"Assemble the Entmoot","ability-counter|activated-ability|gives-reach|keyword-counter|lifegain-matters|reach-counter|sacrifice-self|synergy-lifegain|unnoted-tracked-information"
"Avenging Huntbonder","ability-counter|attack-trigger|double-strike-counter|gives-double-strike|gives-keyword-counter|keyword-counter|synergy-attacker|synergy-attacker-self"
"Avian Oddity","ability-counter|activate-from-hand|activated-ability|card-advantage|cheaper-than-mv|cycle|cycle-iko-counter-cycler|draw|draw-card|evasion|flavors-of-vanilla|flying-counter|gives-evasion|gives-flying|gives-keyword-counter|hand-neutral|keyword-counter|pure-draw|virtual-french-vanilla"
"Besieged Viking Village","ability-counter|alliteration|card-names|gives-1-1-counters|gives-indestructible|gives-pp-counters|indestructible-counter|keyword-counter|naming-scheme|protects-creature|protects-permanent|synergy-attacker"
